size,type,threshold,median_us
5900,reversed,20,534
5900,almost,20,524
5900,random,30,856
5900,reversed,30,546
5900,almost,30,460
5900,random,50,939
5900,reversed,50,769
5900,almost,50,404
6000,random,0,1515
6000,reversed,0,1132
6000,almost,0,1157
6000,random,5,1101
6000,reversed,5,700
6000,almost,5,719
6000,random,10,1069
6000,reversed,10,594
6000,almost,10,615
6000,random,20,1258
6000,reversed,20,534
6000,almost,20,540
6000,random,30,892
6000,reversed,30,563
6000,almost,30,462
6000,random,50,938
6000,reversed,50,771
6000,almost,50,407
6100,random,0,1538
6100,reversed,0,1147
6100,almost,0,1165
6100,random,5,1114
6100,reversed,5,728
6100,almost,5,753
6100,random,10,993
6100,reversed,10,608
6100,almost,10,623
6100,random,20,915
6100,reversed,20,544
6100,almost,20,537
6100,random,30,888
6100,reversed,30,571
6100,almost,30,476
6100,random,50,947
6100,reversed,50,793
6100,almost,50,424
6200,random,0,1554
6200,reversed,0,1192
6200,almost,0,1206
6200,random,5,1199
6200,reversed,5,738
6200,almost,5,887
6200,random,10,1014
6200,reversed,10,631
6200,almost,10,644
6200,random,20,938
6200,reversed,20,551
6200,almost,20,553
6200,random,30,944
6200,reversed,30,599
6200,almost,30,475
6200,random,50,978
6200,reversed,50,828
6200,almost,50,473
6300,random,0,1636
6300,reversed,0,1207
6300,almost,0,1300
6300,random,5,1314
6300,reversed,5,753
6300,almost,5,949
6300,random,10,1041
6300,reversed,10,645
6300,almost,10,654
6300,random,20,962
6300,reversed,20,605
6300,almost,20,587
6300,random,30,943
6300,reversed,30,596
6300,almost,30,630
6300,random,50,1036
6300,reversed,50,1103
6300,almost,50,459
6400,random,0,1727
6400,reversed,0,1225
6400,almost,0,1325
6400,random,5,1185
6400,reversed,5,781
6400,almost,5,790
6400,random,10,1098
6400,reversed,10,626
6400,almost,10,654
6400,random,20,983
6400,reversed,20,566
6400,almost,20,578
6400,random,30,1061
6400,reversed,30,613
6400,almost,30,500
6400,random,50,1039
6400,reversed,50,883
6400,almost,50,432
6500,random,0,1677
6500,reversed,0,1251
6500,almost,0,1309
6500,random,5,1328
6500,reversed,5,783
6500,almost,5,796
6500,random,10,1120
6500,reversed,10,642
6500,almost,10,694
6500,random,20,1000
6500,reversed,20,581
6500,almost,20,588
6500,random,30,974
6500,reversed,30,654
6500,almost,30,505
6500,random,50,989
6500,reversed,50,684
6500,almost,50,485
6600,random,0,1757
6600,reversed,0,1329
6600,almost,0,1287
6600,random,5,1297
6600,reversed,5,778
6600,almost,5,926
6600,random,10,1092
6600,reversed,10,651
6600,almost,10,682
6600,random,20,1053
6600,reversed,20,591
6600,almost,20,584
6600,random,30,999
6600,reversed,30,731
6600,almost,30,524
6600,random,50,994
6600,reversed,50,643
6600,almost,50,510
6700,random,0,1799
6700,reversed,0,1346
6700,almost,0,1309
6700,random,5,1432
6700,reversed,5,804
6700,almost,5,834
6700,random,10,1247
6700,reversed,10,663
6700,almost,10,681
6700,random,20,1032
6700,reversed,20,597
6700,almost,20,618
6700,random,30,1027
6700,reversed,30,677
6700,almost,30,514
6700,random,50,1019
6700,reversed,50,675
6700,almost,50,524
6800,random,0,1715
6800,reversed,0,1259
6800,almost,0,1371
6800,random,5,1257
6800,reversed,5,892
6800,almost,5,845
6800,random,10,1144
6800,reversed,10,659
6800,almost,10,702
6800,random,20,1556
6800,reversed,20,1022
6800,almost,20,674
6800,random,30,1250
6800,reversed,30,682
6800,almost,30,977
6800,random,50,1866
6800,reversed,50,774
6800,almost,50,537
6900,random,0,1729
6900,reversed,0,1405
6900,almost,0,1374
6900,random,5,1375
6900,reversed,5,813
6900,almost,5,846
6900,random,10,1148
6900,reversed,10,675
6900,almost,10,728
6900,random,20,1056
6900,reversed,20,618
6900,almost,20,622
6900,random,30,1054
6900,reversed,30,697
6900,almost,30,539
6900,random,50,1059
6900,reversed,50,678
6900,almost,50,535
7000,random,0,1797
7000,reversed,0,1315
7000,almost,0,1433
7000,random,5,1278
7000,reversed,5,839
7000,almost,5,854
7000,random,10,1301
7000,reversed,10,681
7000,almost,10,732
7000,random,20,1057
7000,reversed,20,630
7000,almost,20,616
7000,random,30,1056
7000,reversed,30,693
7000,almost,30,551
7000,random,50,1047
7000,reversed,50,704
7000,almost,50,541
7100,random,0,1874
7100,reversed,0,1552
7100,almost,0,1431
7100,random,5,1303
7100,reversed,5,872
7100,almost,5,875
7100,random,10,1184
7100,reversed,10,706
7100,almost,10,725
7100,random,20,1090
7100,reversed,20,644
7100,almost,20,629
7100,random,30,1080
7100,reversed,30,714
7100,almost,30,555
7100,random,50,1088
7100,reversed,50,736
7100,almost,50,571
7200,random,0,4063
7200,reversed,0,1381
7200,almost,0,1465
7200,random,5,1374
7200,reversed,5,831
7200,almost,5,869
7200,random,10,1210
7200,reversed,10,846
7200,almost,10,766
7200,random,20,1135
7200,reversed,20,872
7200,almost,20,690
7200,random,30,1162
7200,reversed,30,848
7200,almost,30,573
7200,random,50,1240
7200,reversed,50,801
7200,almost,50,605
7300,random,0,2399
7300,reversed,0,1812
7300,almost,0,1832
7300,random,5,1868
7300,reversed,5,1157
7300,almost,5,1242
7300,random,10,2048
7300,reversed,10,1422
7300,almost,10,1562
7300,random,20,2288
7300,reversed,20,1201
7300,almost,20,828
7300,random,30,1445
7300,reversed,30,1571
7300,almost,30,1064
7300,random,50,4826
7300,reversed,50,1371
7300,almost,50,754
7400,random,0,3055
7400,reversed,0,1900
7400,almost,0,1899
7400,random,5,2379
7400,reversed,5,1502
7400,almost,5,1107
7400,random,10,1769
7400,reversed,10,1347
7400,almost,10,819
7400,random,20,1609
7400,reversed,20,778
7400,almost,20,865
7400,random,30,1348
7400,reversed,30,1880
7400,almost,30,1080
7400,random,50,2000
7400,reversed,50,1442
7400,almost,50,594
7500,random,0,3189
7500,reversed,0,2566
7500,almost,0,2466
7500,random,5,2019
7500,reversed,5,969
7500,almost,5,1032
7500,random,10,1514
7500,reversed,10,785
7500,almost,10,773
7500,random,20,1179
7500,reversed,20,720
7500,almost,20,739
7500,random,30,1174
7500,reversed,30,830
7500,almost,30,825
7500,random,50,1164
7500,reversed,50,789
7500,almost,50,589
7600,random,0,3530
7600,reversed,0,1522
7600,almost,0,1584
7600,random,5,1475
7600,reversed,5,1079
7600,almost,5,938
7600,random,10,1261
7600,reversed,10,800
7600,almost,10,1245
7600,random,20,1291
7600,reversed,20,743
7600,almost,20,1271
7600,random,30,1906
7600,reversed,30,1500
7600,almost,30,1150
7600,random,50,2082
7600,reversed,50,1025
7600,almost,50,1097
7700,random,0,3222
7700,reversed,0,1610
7700,almost,0,2107
7700,random,5,1822
7700,reversed,5,1139
7700,almost,5,1224
7700,random,10,1400
7700,reversed,10,809
7700,almost,10,846
7700,random,20,1789
7700,reversed,20,741
7700,almost,20,717
7700,random,30,1303
7700,reversed,30,920
7700,almost,30,1342
7700,random,50,2084
7700,reversed,50,1649
7700,almost,50,695
7800,random,0,3553
7800,reversed,0,1864
7800,almost,0,2026
7800,random,5,1738
7800,reversed,5,1160
7800,almost,5,1108
7800,random,10,1466
7800,reversed,10,894
7800,almost,10,824
7800,random,20,1331
7800,reversed,20,807
7800,almost,20,735
7800,random,30,1334
7800,reversed,30,798
7800,almost,30,734
7800,random,50,1775
7800,reversed,50,1081
7800,almost,50,755
7900,random,0,2410
7900,reversed,0,1950
7900,almost,0,1853
7900,random,5,1540
7900,reversed,5,1249
7900,almost,5,1218
7900,random,10,1853
7900,reversed,10,996
7900,almost,10,876
7900,random,20,1613
7900,reversed,20,885
7900,almost,20,712
7900,random,30,1271
7900,reversed,30,806
7900,almost,30,825
7900,random,50,1511
7900,reversed,50,1538
7900,almost,50,3627
8000,random,0,2982
8000,reversed,0,3931
8000,almost,0,2510
8000,random,5,1978
8000,reversed,5,3122
8000,almost,5,1937
8000,random,10,1923
8000,reversed,10,901
8000,almost,10,970
8000,random,20,1512
8000,reversed,20,756
8000,almost,20,864
8000,random,30,1419
8000,reversed,30,746
8000,almost,30,902
