Size,ArrayType,Algorithm,TimeMs,Comparisons
1300,Nearly_Sorted,StringMergeSort,0.6739,38684
1300,Nearly_Sorted,MSDRadix,0.1153,0
1300,Nearly_Sorted,MSDRadix_Fallback,0.0274,12444
1300,Common_Prefix,MergeSort,0.8339,181581
1300,Common_Prefix,QuickSort,0.1707,236209
1300,Common_Prefix,TernaryQuickSort,0.0699,56759
1300,Common_Prefix,StringMergeSort,0.8407,204957
1300,Common_Prefix,MSDRadix,0.1600,0
1300,Common_Prefix,MSDRadix_Fallback,0.1034,6412
1400,Random,MergeSort,0.8091,17523
1400,Random,QuickSort,0.1026,22249
1400,Random,TernaryQuickSort,0.0618,23510
1400,Random,StringMergeSort,0.8302,43329
1400,Random,MSDRadix,0.0987,0
1400,Random,MSDRadix_Fallback,0.0311,7211
1400,Reverse_Sorted,MergeSort,0.7124,11173
1400,Reverse_Sorted,QuickSort,1.1597,1007122
1400,Reverse_Sorted,TernaryQuickSort,0.0533,43723
1400,Reverse_Sorted,StringMergeSort,0.7075,25261
1400,Reverse_Sorted,MSDRadix,0.1289,0
1400,Reverse_Sorted,MSDRadix_Fallback,0.0435,22113
1400,Nearly_Sorted,MergeSort,0.7294,17634
1400,Nearly_Sorted,QuickSort,0.1676,103139
1400,Nearly_Sorted,TernaryQuickSort,0.0614,59669
1400,Nearly_Sorted,StringMergeSort,0.7272,42318
1400,Nearly_Sorted,MSDRadix,0.1273,0
1400,Nearly_Sorted,MSDRadix_Fallback,0.0282,13318
1400,Common_Prefix,MergeSort,0.8999,198224
1400,Common_Prefix,QuickSort,0.1851,265727
1400,Common_Prefix,TernaryQuickSort,0.0701,60004
1400,Common_Prefix,StringMergeSort,0.8942,223706
1400,Common_Prefix,MSDRadix,0.1745,0
1400,Common_Prefix,MSDRadix_Fallback,0.1124,7270
1500,Random,MergeSort,0.8587,19096
1500,Random,QuickSort,0.1162,23789
1500,Random,TernaryQuickSort,0.0661,26077
1500,Random,StringMergeSort,0.9011,47026
1500,Random,MSDRadix,0.1058,0
1500,Random,MSDRadix_Fallback,0.0345,8070
1500,Reverse_Sorted,MergeSort,0.7648,12053
1500,Reverse_Sorted,QuickSort,1.4481,1153980
1500,Reverse_Sorted,TernaryQuickSort,0.0583,48565
1500,Reverse_Sorted,StringMergeSort,0.7718,27381
1500,Reverse_Sorted,MSDRadix,0.1364,0
1500,Reverse_Sorted,MSDRadix_Fallback,0.0461,23672
1500,Nearly_Sorted,MergeSort,0.7888,18977
1500,Nearly_Sorted,QuickSort,0.1181,60207
1500,Nearly_Sorted,TernaryQuickSort,0.0638,59330
1500,Nearly_Sorted,StringMergeSort,0.8035,45521
1500,Nearly_Sorted,MSDRadix,0.1355,0
1500,Nearly_Sorted,MSDRadix_Fallback,0.0316,14300
1500,Common_Prefix,MergeSort,0.9796,214626
1500,Common_Prefix,QuickSort,0.1942,276801
1500,Common_Prefix,TernaryQuickSort,0.0714,64374
1500,Common_Prefix,StringMergeSort,0.9779,242182
1500,Common_Prefix,MSDRadix,0.1992,0
1500,Common_Prefix,MSDRadix_Fallback,0.1242,8013
1600,Random,MergeSort,0.9248,20675
1600,Random,QuickSort,0.1187,26392
1600,Random,TernaryQuickSort,0.0701,27122
1600,Random,StringMergeSort,0.9164,50751
1600,Random,MSDRadix,0.1150,0
1600,Random,MSDRadix_Fallback,0.0347,8838
1600,Reverse_Sorted,MergeSort,0.8076,12967
1600,Reverse_Sorted,QuickSort,1.5490,1310879
