sort_type,size,type,median_us
hybridsort,9400,almost,867
quicksort,9500,random,1715
quicksort,9500,reversed,2027
quicksort,9500,almost,1849
hybridsort,9500,random,1500
hybridsort,9500,reversed,845
hybridsort,9500,almost,881
quicksort,9600,random,2036
quicksort,9600,reversed,1691
quicksort,9600,almost,1569
hybridsort,9600,random,1383
hybridsort,9600,reversed,947
hybridsort,9600,almost,852
quicksort,9700,random,1752
quicksort,9700,reversed,1690
quicksort,9700,almost,2228
hybridsort,9700,random,1440
hybridsort,9700,reversed,888
hybridsort,9700,almost,896
quicksort,9800,random,1800
quicksort,9800,reversed,1957
quicksort,9800,almost,2940
hybridsort,9800,random,2186
hybridsort,9800,reversed,888
hybridsort,9800,almost,914
quicksort,9900,random,1825
quicksort,9900,reversed,1719
quicksort,9900,almost,1632
hybridsort,9900,random,1521
hybridsort,9900,reversed,1219
hybridsort,9900,almost,1229
quicksort,10000,random,1760
quicksort,10000,reversed,1675
quicksort,10000,almost,1913
hybridsort,10000,random,1534
hybridsort,10000,reversed,995
hybridsort,10000,almost,1012
quicksort,10100,random,1844
quicksort,10100,reversed,1797
quicksort,10100,almost,1726
hybridsort,10100,random,1389
hybridsort,10100,reversed,1067
hybridsort,10100,almost,967
quicksort,10200,random,2270
quicksort,10200,reversed,2229
quicksort,10200,almost,1700
hybridsort,10200,random,1414
hybridsort,10200,reversed,936
hybridsort,10200,almost,962
quicksort,10300,random,1814
quicksort,10300,reversed,1789
quicksort,10300,almost,1877
hybridsort,10300,random,1698
hybridsort,10300,reversed,951
hybridsort,10300,almost,988
quicksort,10400,random,1817
quicksort,10400,reversed,2148
quicksort,10400,almost,1980
hybridsort,10400,random,1485
hybridsort,10400,reversed,971
hybridsort,10400,almost,1260
quicksort,10500,random,2283
quicksort,10500,reversed,1686
quicksort,10500,almost,1744
hybridsort,10500,random,1505
hybridsort,10500,reversed,953
hybridsort,10500,almost,908
quicksort,10600,random,2036
quicksort,10600,reversed,1723
quicksort,10600,almost,2342
hybridsort,10600,random,1501
hybridsort,10600,reversed,958
hybridsort,10600,almost,1237
quicksort,10700,random,1847
quicksort,10700,reversed,1983
quicksort,10700,almost,1729
hybridsort,10700,random,1731
hybridsort,10700,reversed,954
hybridsort,10700,almost,1001
quicksort,10800,random,2222
quicksort,10800,reversed,1772
quicksort,10800,almost,1844
hybridsort,10800,random,1582
hybridsort,10800,reversed,1122
hybridsort,10800,almost,1036
quicksort,10900,random,1944
quicksort,10900,reversed,1846
quicksort,10900,almost,2031
hybridsort,10900,random,1883
hybridsort,10900,reversed,1022
hybridsort,10900,almost,1091
quicksort,11000,random,1988
quicksort,11000,reversed,1925
quicksort,11000,almost,1851
hybridsort,11000,random,1569
hybridsort,11000,reversed,1124
hybridsort,11000,almost,1157
quicksort,11100,random,4039
quicksort,11100,reversed,1932
quicksort,11100,almost,2253
hybridsort,11100,random,1511
hybridsort,11100,reversed,1080
hybridsort,11100,almost,1098
quicksort,11200,random,4053
quicksort,11200,reversed,4215
quicksort,11200,almost,3961
hybridsort,11200,random,3291
hybridsort,11200,reversed,2077
hybridsort,11200,almost,1002
quicksort,11300,random,2097
quicksort,11300,reversed,1872
quicksort,11300,almost,1868
hybridsort,11300,random,1598
hybridsort,11300,reversed,1021
hybridsort,11300,almost,1385
quicksort,11400,random,1992
quicksort,11400,reversed,1973
quicksort,11400,almost,1869
hybridsort,11400,random,1640
hybridsort,11400,reversed,1055
hybridsort,11400,almost,1104
quicksort,11500,random,2054
quicksort,11500,reversed,2288
quicksort,11500,almost,1999
hybridsort,11500,random,1629
hybridsort,11500,reversed,1038
hybridsort,11500,almost,1144
quicksort,11600,random,2142
quicksort,11600,reversed,2012
quicksort,11600,almost,1885
hybridsort,11600,random,1646
hybridsort,11600,reversed,1313
hybridsort,11600,almost,1209
quicksort,11700,random,2116
quicksort,11700,reversed,1872
quicksort,11700,almost,2072
hybridsort,11700,random,2246
hybridsort,11700,reversed,1195
hybridsort,11700,almost,1149
quicksort,11800,random,2124
quicksort,11800,reversed,2303
quicksort,11800,almost,2099
hybridsort,11800,random,1721
hybridsort,11800,reversed,1180
hybridsort,11800,almost,1151
quicksort,11900,random,2302
quicksort,11900,reversed,2413
quicksort,11900,almost,2000
hybridsort,11900,random,1719
hybridsort,11900,reversed,1198
hybridsort,11900,almost,1168
quicksort,12000,random,2310
quicksort,12000,reversed,2086
quicksort,12000,almost,2024
hybridsort,12000,random,2042
hybridsort,12000,reversed,1208
hybridsort,12000,almost,1687
quicksort,12100,random,2180
quicksort,12100,reversed,2072
quicksort,12100,almost,2023
hybridsort,12100,random,1967
hybridsort,12100,reversed,1172
hybridsort,12100,almost,1213
quicksort,12200,random,2244
quicksort,12200,reversed,2217
quicksort,12200,almost,2136
hybridsort,12200,random,1776
hybridsort,12200,reversed,1078
hybridsort,12200,almost,1176
quicksort,12300,random,2710
quicksort,12300,reversed,2190
quicksort,12300,almost,1982
hybridsort,12300,random,1731
hybridsort,12300,reversed,1491
hybridsort,12300,almost,1195
quicksort,12400,random,2272
quicksort,12400,reversed,2078
quicksort,12400,almost,2304
hybridsort,12400,random,2152
hybridsort,12400,reversed,1117
hybridsort,12400,almost,1285
quicksort,12500,random,2574
quicksort,12500,reversed,2158
quicksort,12500,almost,2201
hybridsort,12500,random,2022
hybridsort,12500,reversed,1139
hybridsort,12500,almost,1265
quicksort,12600,random,2385
quicksort,12600,reversed,2098
quicksort,12600,almost,2200
hybridsort,12600,random,1793
hybridsort,12600,reversed,1267
hybridsort,12600,almost,1240
quicksort,12700,random,3105
quicksort,12700,reversed,2291
quicksort,12700,almost,2369
hybridsort,12700,random,1877
hybridsort,12700,reversed,1471
hybridsort,12700,almost,1293
quicksort,12800,random,2324
quicksort,12800,reversed,2573
quicksort,12800,almost,2150
hybridsort,12800,random,1846
hybridsort,12800,reversed,1293
hybridsort,12800,almost,1272
quicksort,12900,random,2491
quicksort,12900,reversed,2242
quicksort,12900,almost,2208
hybridsort,12900,random,1911
hybridsort,12900,reversed,1221
hybridsort,12900,almost,1266
quicksort,13000,random,3098
quicksort,13000,reversed,2133
quicksort,13000,almost,2644
hybridsort,13000,random,1934
hybridsort,13000,reversed,1199
hybridsort,13000,almost,1278
quicksort,13100,random,2526
quicksort,13100,reversed,2253
quicksort,13100,almost,2390
hybridsort,13100,random,1894
hybridsort,13100,reversed,1228
hybridsort,13100,almost,1271
quicksort,13200,random,2372
quicksort,13200,reversed,2858
quicksort,13200,almost,2475
hybridsort,13200,random,2015
hybridsort,13200,reversed,1374
hybridsort,13200,almost,1238
quicksort,13300,random,2622
quicksort,13300,reversed,2243
quicksort,13300,almost,2231
hybridsort,13300,random,1911
hybridsort,13300,reversed,1284
hybridsort,13300,almost,1347
quicksort,13400,random,2606
quicksort,13400,reversed,2448
quicksort,13400,almost,2329
hybridsort,13400,random,1976
hybridsort,13400,reversed,1372
hybridsort,13400,almost,1354
quicksort,13500,random,2472
quicksort,13500,reversed,3107
quicksort,13500,almost,2305
hybridsort,13500,random,2035
hybridsort,13500,reversed,1665
hybridsort,13500,almost,1817
quicksort,13600,random,2501
quicksort,13600,reversed,2257
quicksort,13600,almost,2438
hybridsort,13600,random,2009
hybridsort,13600,reversed,2471
hybridsort,13600,almost,1328
